question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
"If C and L denote the capacitance and inductance, the units of LC are",$ M^0L^0T^2 $,$ M^0L^2T^{-2} $,$ MLT^{-2} $,$ M^0L^0T^0 $,a,Physics,,,,,
"A stone is dropped into a well in which the level of water is h metre below the top of the well. If V is the velocity of sound, the time T after which the splash is heard is given by",T = $ \frac {2h}{V} $,T = $ \sqrt{\frac {2h}{g}} $ + $ \frac {h}{V} $,T = $ \sqrt{\frac {2h}{V}} $ + $ \frac {h}{g} $,T = $ \sqrt{\frac {2h}{V}} $ + $ \frac {2h}{V} $,b,Physics,,,,,
Two bodies equal mass revolve in circular orbits of radii $ R_1 $ and $ R_2 $ with the same period. Their centripetal forces are in the ratio of,$ (R_2/R_1)^2 $,$ R_1/R_2 $,$ (R_1/R_2)^2 $,$ \sqrt{R_1R_2} $,b,Physics,,,,,
The young's modulus of a perfectly rigid body is,unity,zero,infinity,some finite non zero constant,c,Physics,,,,,
Energy stored in a soap bubble of diameter 4 cm is (s = 0.07 N/m) is nearly,7 $ \times \space 10^{-4} $ J,3.5 $ \times \space 10^{-4} $ J,1.76 $ \times \space 10^{-2} $ J,8.8 $ \times \space 10^{-3} $ J,a,Physics,,,,,
"At what temperature, volume of an ideal gas at $ 0^{\circ} $ C becomes triple",$ 546^{\circ} $ C,$ 182^{\circ} $ C,$ 819^{\circ} $ C,$ 646^{\circ} $ C,a,Physics,,,,,
"If the ratio of densities of two substance is 5:6 and that to the specific heat is 3:5. Then, the ratio between heat capacities per unit volume is",1 : 1,2 : 1,1 : 2,1 : 3,c,Physics,,,,,
A metallic rod at a temperature of $ 77^{\circ} $ C radiates at the rate of 10W. If it's temperature is increased to $ 227^{\circ} $ C it will radiate at the rate of:,(227/77) $ \times $  10W,$ (227/77)^2 \space \times $ 10W,42W,160W,c,Physics,,,,,
A convex lens is dipped in a liquid whose refractive index is equal to refractive index of lens. Then its focal length will,become zero,become infinite,reduce,increase,b,Physics,,,,,
The dispersive power of the material of lens of focal length 20cm is 0.08. The longitudinal chromatic aberration of the lens is,0.08 cm,1.6 cm,0.08/20 cm,0.16 cm,b,Physics,,,,,
