question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
"If the sum of two unit vectors is also a unit vector, then magnitude of their difference is",$ \sqrt{2} $,$ \sqrt{3} $,$ \sqrt{4} $,$ \sqrt{7} $,b,Physics,,,,,
A particle is projected at $ 60^o $ to the horizontal with an energy E. The K.E and P.E at the heighest point are:,"E / 2, E / 2","3E / 4, E / 4","E, 0","E / 4, 3E / 4",d,Physics,,,,,
A simple pendulum has a time period $ T_1 $ when on earth's surface and $ T_2 $ when taken to height 2R above the earth's surface where R is radius of the earth. The value of $ T_1 / T_2 $ is,1 / 9,1 / 3,$ \sqrt{3} $,9,b,Physics,,,,,
"For a constant hydraulic stress on an object, the fractional change in the objects volume (Δv / v) and its bulk modulus (B) are related as:",$ \frac{\Delta V}{V} \propto B $,$ \frac{\Delta V}{V} \propto \frac{1}{B} $,$ \frac{\Delta V}{V} \propto B^2 $,$ \frac{\Delta V}{V} \propto B^{-2} $,b,Physics,,,,,
"The radius of a soap bubble is r. The surface tension of soap solution is T. Keeping temperature constant, the radius of the soap bubble is doubled. The energy necessary for this will be",$ 24\pi r^2 T $,$ 8\pi r^2 T $,$ 12\pi r^2 T $,$ 16\pi r^2 T $,a,Physics,,,,,
"Two metallic rods of same length, same material, same area cross-section are connected in (a) series (b) parallel. The conductivity of combination, where k is conductivity of rod, would be?","2 k, k / 2","k/2, 2 k","k, k","2k, 2k",c,Physics,,,,,
At absolute zero,all substances exist in solid form,molecular motion ceases,water becomes ice,none,b,Physics,,,,,
Newton's law of cooling refers to,conduction,convection,radiation,all of above,c,Physics,,,,,
A gas at pressure P is adiabatically compressed so that its density becomes twice that of initial value. Given that $ \gamma = C_p / C_v = 7 / 5 $. What will be the final pressure of gas?,2P,7 / 5 P,2.63 P,P,c,Physics,,,,,
The distance between an object and a divergent lens is m times the focal length of the lens. The linear magnification produced by the lens is:,m,1 / m,m+1,1 /m + 1,d,Physics,,,,,
Focal length of objective and eye piece of telescope are 200 cm and 4 cm respectively. What is the length of telescope for normal adjustment?,196 cm,204 cm,250 cm,225 cm,b,Physics,,,,,
"In YDSE, the separation between the slits is halved and the distance between the slits and screen is doubled. The fringe width is",unchanged,1 / 2,2 times,4 times,d,Physics,,,,,
"The energy of a charged capacitor is E. It is allowed to share its charge with an identical capacitor charged to its half its potential, loss in the energy of the system is",E / 2,E / 4,E / 8,3 / 4 E,c,Physics,,,,,
"You are given n resistors, each of resistance r. They are 1st combined to get minimum possible resistance, then they are connected to get the maximum possible resistance. The ratio between minimum to maximum resistance is",2n,1 / n,n,$ n^2 $,c,Physics,,,,,
"What will be the wattage of a 50 W, 200 V lamp when used on 160 V power supply?",32 W,64 W,96 W,128 W,a,Physics,,,,,
