question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
Which of the following is not dimensionless?,Relative density,Relative velocity,Relative refractive index,Relative permittivity,b,Physics,,,,,
"If a ball is thrown vertically upwards with speed v, the distance covered during the last t seconds of its ascent is",ut,$ \frac{1}{2} gt^2 $,ut - $ \frac{1}{2} gt^2 $,(u + gt)t,b,Physics,,,,,
"The height at which the acceleration due to gravity becomes g/9 ( where g = acceleration due to gravity on the surface of the earth) in terms of R, the radius of the earth is",$ \frac{R}{\sqrt{2}} $,$ \frac{R}{2} $,$ \sqrt{R} $,2R,d,Physics,,,,,
"A wire length L and cross section area A is stretched through a certain length l. If Y is Young's modulus of the material of the wire, then the force constant of the wire is",$ \frac{Yl}{A} $,$ \frac{Yl}{A} $,$ \frac{YA}{l} $,$ \frac{YA}{l} $,d,Physics,,,,,
"A small spherical ball of steel falls through a viscous medium with terminal velocity v. If a ball of twice the radius of the first one but of the same mass is dropped through the same medium, it will fall with a terminal velocity (neglect buoyancy)",v/2,$ \frac{v}{\sqrt{2}} $,v,2v,a,Physics,,,,,
"A gas undergoes an isothermal change, its specific heat in the process is",0,1,infinity,0.5,c,Physics,,,,,
"For a perfectly black body, the absorptive power is",1,0.5,0,infinity,a,Physics,,,,,
A metal rod having linear expansion coefficient 2 $ \times \space 10^{-5} /^oC $ has a length of 1m at $ 20^oC $ . The temp at which it is shortened by 1mm is,$ -20^oC $,$ -15^oC $,$ -30^oC $,$ -25^oC $,c,Physics,,,,,
The planoconvex lens has refractive index 1.6 and radius of curvature 60cm. Its focal length is,50 cm,100 cm,200 cm,400 cm,b,Physics,,,,,
"The magnifying power of objective of a compound microscope is 5. If the magnifying power of microscope is 30, then magnifying power of eye piece will be",0.17,6,3,25,b,Physics,,,,,
"When an unpolarised light of intensity $ I_o $ is incident on a polarizing sheet, the intensity of the light which does not get transmitted is",$ I_o $,zero,$ \frac{1}{4} I_o $,$ \frac{1}{2} I_o $,d,Physics,,,,,
The propagation of sound wave in gas is,isothermal,adiabatic,isochoric,none,b,Physics,,,,,
"A parallel plate capacitor is made by stacking n equally spaced plates connected alternatively. If the capacitance in any two adjacent plates is 'c', then the resultant capacitance is",nc,c,(n+1)c,(n-1)c,d,Physics,,,,,
Two point charges +8q and -2q are located at x=0 and x=L resp. The location of a point on the x-axis at which the net electric field due to these two point charges is zero is,4L,8L,L/4,2L,d,Physics,,,,,
A 5A fuse wire can withstand a maximum power of 1 watt in the circuit. The resistance of the fuse wire is,$ 5\Omega $,$ 0.04\Omega $,$ 0.2\Omega $,$ 0.4\Omega $,b,Physics,,,,,
The temperature of inversion of thermocouple is $ 620^oC $ and the neutral temperature is $ 300^oC $. What is the temperature of cold junction?,$ 40^oC $,$ 20^oC $,$ 320^oC $,$ -20^oC $,d,Physics,,,,,
A long straight wire carrying a current of 30A is placed in an external uniform magnetic field of induction 4 $ \times \space 10^{-4} $ T. The magnetic field is acting parallel to the direction of current. The magnitude of the resultant magnetic induction in tesla at a point 2cm away from the wire is ($ \mu_o $ = $ 4\pi \space \times \space 10^{-7} $ H/m),$ 10^{-4} $,$ 3 \space \times \space 10^{-4} $,$ 4 \space \times \space 10^{-4} $,$ 6 \space \times \space 10^{-4} $,c,Physics,,,,,
An electron is accelerated through a potential difference of v volts. The speed of electron will be,$ \sqrt{\frac{ev}{m}} $,$ \sqrt{\frac{2ev}{m}} $,$ \sqrt{\frac{ev}{2m}} $,$ \sqrt{\frac{m}{2ev}} $,b,Physics,,,,,
